INFO:2021-05-04 22:05:37.5049:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-05-04 22:05:39.1260:ConnectionTest.Program.Main(Program.cs:18):131: ASTORIA, NY
DEBUG:2021-05-04 22:05:39.1429:ConnectionTest.Program.Main(Program.cs:18):132: ASTORIA, OR
DEBUG:2021-05-04 22:05:39.1429:ConnectionTest.Program.Main(Program.cs:18):133: ATHENS, AL
DEBUG:2021-05-04 22:05:39.1580:ConnectionTest.Program.Main(Program.cs:18):134: ATHENS, GA
DEBUG:2021-05-04 22:05:39.1580:ConnectionTest.Program.Main(Program.cs:18):135: ATHENS, OH
DEBUG:2021-05-04 22:05:39.1733:ConnectionTest.Program.Main(Program.cs:18):136: ATHENS, TN
DEBUG:2021-05-04 22:05:39.1733:ConnectionTest.Program.Main(Program.cs:18):137: ATHENS, TX
DEBUG:2021-05-04 22:05:39.1943:ConnectionTest.Program.Main(Program.cs:18):138: ATLANTA, GA
DEBUG:2021-05-04 22:05:39.1963:ConnectionTest.Program.Main(Program.cs:18):139: ATLANTA, TX
DEBUG:2021-05-04 22:05:39.2111:ConnectionTest.Program.Main(Program.cs:18):140: ATLANTIC, IA
DEBUG:2021-05-04 22:05:39.2111:ConnectionTest.Program.Main(Program.cs:18):141: ATLANTIC CITY, NJ
DEBUG:2021-05-04 22:05:39.2273:ConnectionTest.Program.Main(Program.cs:18):142: ATLANTIS, FL
DEBUG:2021-05-04 22:05:39.2273:ConnectionTest.Program.Main(Program.cs:18):143: ATMORE, AL
DEBUG:2021-05-04 22:05:39.2430:ConnectionTest.Program.Main(Program.cs:18):144: ATTALLA, AL
DEBUG:2021-05-04 22:05:39.2430:ConnectionTest.Program.Main(Program.cs:18):145: ATTLEBORO, MA
DEBUG:2021-05-04 22:05:39.2580:ConnectionTest.Program.Main(Program.cs:18):146: ATWATER, CA
DEBUG:2021-05-04 22:05:39.2580:ConnectionTest.Program.Main(Program.cs:18):147: AUBURN, AL
DEBUG:2021-05-04 22:05:39.2729:ConnectionTest.Program.Main(Program.cs:18):148: AUBURN, CA
DEBUG:2021-05-04 22:05:39.2729:ConnectionTest.Program.Main(Program.cs:18):149: AUBURN, IN
DEBUG:2021-05-04 22:05:39.2729:ConnectionTest.Program.Main(Program.cs:18):150: AUBURN, MA
DEBUG:2021-05-04 22:05:39.2883:ConnectionTest.Program.Main(Program.cs:18):151: AUBURN, ME
DEBUG:2021-05-04 22:05:39.2883:ConnectionTest.Program.Main(Program.cs:18):152: AUBURN, NY
DEBUG:2021-05-04 22:05:39.2883:ConnectionTest.Program.Main(Program.cs:18):153: AUBURN, WA
DEBUG:2021-05-04 22:05:39.2883:ConnectionTest.Program.Main(Program.cs:18):154: AUBURNDALE, FL
DEBUG:2021-05-04 22:05:39.3114:ConnectionTest.Program.Main(Program.cs:18):155: AUGUSTA, GA
DEBUG:2021-05-04 22:05:39.3114:ConnectionTest.Program.Main(Program.cs:18):156: AUGUSTA, ME
DEBUG:2021-05-04 22:05:39.3114:ConnectionTest.Program.Main(Program.cs:18):157: AURORA, CO
DEBUG:2021-05-04 22:05:39.3209:ConnectionTest.Program.Main(Program.cs:18):158: AURORA, IL
DEBUG:2021-05-04 22:05:39.3209:ConnectionTest.Program.Main(Program.cs:18):159: AUSTELL, GA
DEBUG:2021-05-04 22:05:39.3209:ConnectionTest.Program.Main(Program.cs:18):160: AUSTIN, TX
DEBUG:2021-05-04 22:05:39.3369:ConnectionTest.Program.Main(Program.cs:18):161: AUSTINTOWN, OH
DEBUG:2021-05-04 22:05:39.3369:ConnectionTest.Program.Main(Program.cs:18):162: AVE MARIA, FL
DEBUG:2021-05-04 22:05:39.3588:ConnectionTest.Program.Main(Program.cs:18):163: AVENTURA, FL
DEBUG:2021-05-04 22:05:39.3588:ConnectionTest.Program.Main(Program.cs:18):164: AVON, CO
DEBUG:2021-05-04 22:05:39.3588:ConnectionTest.Program.Main(Program.cs:18):165: Avon, CT
DEBUG:2021-05-04 22:05:39.3735:ConnectionTest.Program.Main(Program.cs:18):166: AVONDALE, AZ
DEBUG:2021-05-04 22:05:39.3735:ConnectionTest.Program.Main(Program.cs:18):167: AVONDALE, LA
DEBUG:2021-05-04 22:05:39.3735:ConnectionTest.Program.Main(Program.cs:18):168: AYDEN, NC
DEBUG:2021-05-04 22:05:39.3900:ConnectionTest.Program.Main(Program.cs:18):169: AZLE, TX
DEBUG:2021-05-04 22:05:39.3900:ConnectionTest.Program.Main(Program.cs:18):170: Azusa, CA
DEBUG:2021-05-04 22:05:39.3990:ConnectionTest.Program.Main(Program.cs:18):171: BAD AXE, MI
DEBUG:2021-05-04 22:05:39.3990:ConnectionTest.Program.Main(Program.cs:18):172: Baden, PA
DEBUG:2021-05-04 22:05:39.3990:ConnectionTest.Program.Main(Program.cs:18):173: Bainbridge, GA
DEBUG:2021-05-04 22:05:39.3990:ConnectionTest.Program.Main(Program.cs:18):174: BAKER, LA
DEBUG:2021-05-04 22:05:39.4235:ConnectionTest.Program.Main(Program.cs:18):175: Bakersfield, CA
DEBUG:2021-05-04 22:05:39.4235:ConnectionTest.Program.Main(Program.cs:18):176: BALCH SPRINGS, TX
DEBUG:2021-05-04 22:05:39.4377:ConnectionTest.Program.Main(Program.cs:18):177: BALDWIN, MI
DEBUG:2021-05-04 22:05:39.4377:ConnectionTest.Program.Main(Program.cs:18):178: Baldwin Park, CA
DEBUG:2021-05-04 22:05:39.4377:ConnectionTest.Program.Main(Program.cs:18):179: BALTIMORE, MD
DEBUG:2021-05-04 22:05:39.4568:ConnectionTest.Program.Main(Program.cs:18):180: BAMBERG, SC
DEBUG:2021-05-04 22:05:39.4568:ConnectionTest.Program.Main(Program.cs:18):181: BANGOR, ME
DEBUG:2021-05-04 22:05:39.4704:ConnectionTest.Program.Main(Program.cs:18):182: Banning, CA
DEBUG:2021-05-04 22:05:39.4704:ConnectionTest.Program.Main(Program.cs:18):183: BARABOO, WI
DEBUG:2021-05-04 22:05:39.4854:ConnectionTest.Program.Main(Program.cs:18):184: BARBERTON, OH
DEBUG:2021-05-04 22:05:39.4854:ConnectionTest.Program.Main(Program.cs:18):185: BARDSTOWN, KY
DEBUG:2021-05-04 22:05:39.4974:ConnectionTest.Program.Main(Program.cs:18):186: BARNWELL, SC
DEBUG:2021-05-04 22:05:39.4974:ConnectionTest.Program.Main(Program.cs:18):187: BARRE, VT
DEBUG:2021-05-04 22:05:39.4974:ConnectionTest.Program.Main(Program.cs:18):188: BARRON, WI
DEBUG:2021-05-04 22:05:39.5118:ConnectionTest.Program.Main(Program.cs:18):189: Barstow, CA
DEBUG:2021-05-04 22:05:39.5118:ConnectionTest.Program.Main(Program.cs:18):190: BARTLESVILLE, OK
DEBUG:2021-05-04 22:05:39.5118:ConnectionTest.Program.Main(Program.cs:18):191: Bartonsville, PA
DEBUG:2021-05-04 22:05:39.5118:ConnectionTest.Program.Main(Program.cs:18):192: Bartow, FL
DEBUG:2021-05-04 22:05:39.5304:ConnectionTest.Program.Main(Program.cs:18):193: BASTROP, LA
DEBUG:2021-05-04 22:05:39.5304:ConnectionTest.Program.Main(Program.cs:18):194: BASTROP, TX
DEBUG:2021-05-04 22:05:39.5304:ConnectionTest.Program.Main(Program.cs:18):195: BATAVIA, IL
DEBUG:2021-05-04 22:05:39.5458:ConnectionTest.Program.Main(Program.cs:18):196: Batavia, NY
DEBUG:2021-05-04 22:05:39.5458:ConnectionTest.Program.Main(Program.cs:18):197: BATAVIA, OH
DEBUG:2021-05-04 22:05:39.5458:ConnectionTest.Program.Main(Program.cs:18):198: BATESVILLE, AR
DEBUG:2021-05-04 22:05:39.5622:ConnectionTest.Program.Main(Program.cs:18):199: BATESVILLE, IN
DEBUG:2021-05-04 22:05:39.5622:ConnectionTest.Program.Main(Program.cs:18):200: BATH, ME
DEBUG:2021-05-04 22:05:39.5757:ConnectionTest.Program.Main(Program.cs:18):201: BATON ROUGE, LA
DEBUG:2021-05-04 22:05:39.5757:ConnectionTest.Program.Main(Program.cs:18):202: BATTLE CREEK, MI
DEBUG:2021-05-04 22:05:39.5757:ConnectionTest.Program.Main(Program.cs:18):203: BATTLE GROUND, WA
DEBUG:2021-05-04 22:05:39.5757:ConnectionTest.Program.Main(Program.cs:18):204: BAXLEY, GA
DEBUG:2021-05-04 22:05:39.5917:ConnectionTest.Program.Main(Program.cs:18):205: BAY CITY, MI
DEBUG:2021-05-04 22:05:39.5917:ConnectionTest.Program.Main(Program.cs:18):206: BAY CITY, TX
DEBUG:2021-05-04 22:05:39.5917:ConnectionTest.Program.Main(Program.cs:18):207: BAY MINETTE, AL
DEBUG:2021-05-04 22:05:39.5917:ConnectionTest.Program.Main(Program.cs:18):208: Bay Shore, NY
DEBUG:2021-05-04 22:05:39.6086:ConnectionTest.Program.Main(Program.cs:18):209: BAY SPRINGS, MS
DEBUG:2021-05-04 22:05:39.6086:ConnectionTest.Program.Main(Program.cs:18):210: BAYAMON, PR
DEBUG:2021-05-04 22:05:39.6161:ConnectionTest.Program.Main(Program.cs:18):211: BAYONNE, NJ
DEBUG:2021-05-04 22:05:39.6161:ConnectionTest.Program.Main(Program.cs:18):212: BAYSIDE, NY
DEBUG:2021-05-04 22:05:39.6161:ConnectionTest.Program.Main(Program.cs:18):213: BAYTOWN, TX
DEBUG:2021-05-04 22:05:39.6161:ConnectionTest.Program.Main(Program.cs:18):214: BEACHWOOD, OH
DEBUG:2021-05-04 22:05:39.6402:ConnectionTest.Program.Main(Program.cs:18):215: Bear, DE
DEBUG:2021-05-04 22:05:39.6402:ConnectionTest.Program.Main(Program.cs:18):216: BEATRICE, NE
DEBUG:2021-05-04 22:05:39.6402:ConnectionTest.Program.Main(Program.cs:18):217: Beaufort, SC
DEBUG:2021-05-04 22:05:39.6573:ConnectionTest.Program.Main(Program.cs:18):218: Beaumont, CA
DEBUG:2021-05-04 22:05:39.6573:ConnectionTest.Program.Main(Program.cs:18):219: BEAUMONT, TX
DEBUG:2021-05-04 22:05:39.6627:ConnectionTest.Program.Main(Program.cs:18):220: Beaver, PA
DEBUG:2021-05-04 22:05:39.6627:ConnectionTest.Program.Main(Program.cs:18):221: BEAVER DAM, WI
DEBUG:2021-05-04 22:05:39.6627:ConnectionTest.Program.Main(Program.cs:18):222: Beaver Falls, PA
DEBUG:2021-05-04 22:05:39.6889:ConnectionTest.Program.Main(Program.cs:18):223: BEAVERTON, OR
DEBUG:2021-05-04 22:05:39.6889:ConnectionTest.Program.Main(Program.cs:18):224: BECKLEY, WV
DEBUG:2021-05-04 22:05:39.7040:ConnectionTest.Program.Main(Program.cs:18):225: BEDFORD, IN
DEBUG:2021-05-04 22:05:39.7040:ConnectionTest.Program.Main(Program.cs:18):226: BEDFORD, NH
DEBUG:2021-05-04 22:05:39.7040:ConnectionTest.Program.Main(Program.cs:18):227: BEDFORD, TX
DEBUG:2021-05-04 22:05:39.7197:ConnectionTest.Program.Main(Program.cs:18):228: BEDFORD, VA
DEBUG:2021-05-04 22:05:39.7197:ConnectionTest.Program.Main(Program.cs:18):229: Bedford Heights, OH
DEBUG:2021-05-04 22:05:39.7197:ConnectionTest.Program.Main(Program.cs:18):230: BEEVILLE, TX
DEBUG:2021-05-04 22:05:39.7370:ConnectionTest.Program.Main(Program.cs:18):231: BEL AIR, MD
DEBUG:2021-05-04 22:05:39.7370:ConnectionTest.Program.Main(Program.cs:18):232: BELFAIR, WA
DEBUG:2021-05-04 22:05:39.7521:ConnectionTest.Program.Main(Program.cs:18):233: BELFAST, ME
DEBUG:2021-05-04 22:05:39.7521:ConnectionTest.Program.Main(Program.cs:18):234: BELLAIRE, TX
DEBUG:2021-05-04 22:05:39.7644:ConnectionTest.Program.Main(Program.cs:18):235: BELLE GLADE, FL
DEBUG:2021-05-04 22:05:39.7644:ConnectionTest.Program.Main(Program.cs:18):236: BELLEFONTAINE, OH
DEBUG:2021-05-04 22:05:39.7644:ConnectionTest.Program.Main(Program.cs:18):237: Belleville, IL
DEBUG:2021-05-04 22:05:39.7722:ConnectionTest.Program.Main(Program.cs:18):238: BELLEVILLE, MI
DEBUG:2021-05-04 22:05:39.7722:ConnectionTest.Program.Main(Program.cs:18):239: Belleville, NJ
DEBUG:2021-05-04 22:05:39.7722:ConnectionTest.Program.Main(Program.cs:18):240: BELLEVUE, NE
DEBUG:2021-05-04 22:05:39.7722:ConnectionTest.Program.Main(Program.cs:18):241: BELLEVUE, OH
DEBUG:2021-05-04 22:05:39.7880:ConnectionTest.Program.Main(Program.cs:18):242: BELLEVUE, WA
DEBUG:2021-05-04 22:05:39.7880:ConnectionTest.Program.Main(Program.cs:18):243: Bellflower, CA
DEBUG:2021-05-04 22:05:39.7880:ConnectionTest.Program.Main(Program.cs:18):244: BELLINGHAM, WA
